estimator,elapsed_min,saving_pct,sd_lo,sd_hi
ECORE (oracle),15,19.6427,18.88,20.4015
ECORE (oracle),30,19.5956,18.4476,20.7474
ECORE (oracle),45,20.4251,18.7739,22.0763
ECORE (oracle),60,20.3661,18.9744,21.7617
ECORE (oracle),90,4.6641,3.8936,5.4347
ECORE (oracle),120,6.4686,5.419,7.5183
ECORE (ED),15,14.9762,14.2842,15.6642
ECORE (ED),30,15.904,15.1295,16.6785
ECORE (ED),45,17.7046,16.5644,18.8407
ECORE (ED),60,19.4697,18.3808,20.5548
ECORE (ED),90,-4.036,-5.1761,-2.8959
ECORE (ED),120,-0.6236,-1.862,0.6187
ECORE (OB),15,18.2314,17.1306,19.3321
ECORE (OB),30,16.8947,15.6681,18.1213
ECORE (OB),45,16.5409,14.7285,18.3532
ECORE (OB),60,15.7153,14.2803,17.1502
ECORE (OB),90,1.5033,0.7445,2.266
ECORE (OB),120,1.8728,0.9018,2.8478
