estimator,elapsed_min,inversion_rate_pct,sd_lo,sd_hi
ECORE (oracle),15,0.6653,0.3604,0.9702
ECORE (oracle),30,0.5751,0.2817,0.8702
ECORE (oracle),45,0.6866,0.4325,0.939
ECORE (oracle),60,0.6817,0.4014,0.962
ECORE (oracle),90,2.9717,1.7701,4.1733
ECORE (oracle),120,9.7156,7.2272,12.2039
ECORE (ED),15,1.3128,0.5358,2.0882
ECORE (ED),30,1.044,0.5276,1.5603
ECORE (ED),45,1.1423,0.6669,1.6177
ECORE (ED),60,1.0849,0.5604,1.6095
ECORE (ED),90,2.8242,1.498,4.1503
ECORE (ED),120,10.8663,8.973,12.758
ECORE (OB),15,1.2161,0.5555,1.8783
ECORE (OB),30,1.0489,0.5161,1.5816
ECORE (OB),45,1.1603,0.6735,1.6488
ECORE (OB),60,1.1374,0.5669,1.7079
ECORE (OB),90,3.7979,2.5717,5.0224
ECORE (OB),120,10.8368,8.573,13.1006
