estimator,elapsed_min,energy_penalty_mWh,sd_lo,sd_hi
ECORE (oracle),15,13.4003,7.7471,19.0535
ECORE (oracle),30,11.3283,6.4169,16.2653
ECORE (oracle),45,14.7816,8.8215,20.7162
ECORE (oracle),60,14.2444,8.4378,20.0511
ECORE (oracle),90,38.034,29.3623,46.7056
ECORE (oracle),120,136.5943,87.4292,185.7593
ECORE (ED),15,17.1606,9.7168,24.6044
ECORE (ED),30,14.577,8.3099,20.8697
ECORE (ED),45,18.2605,10.6121,25.9346
ECORE (ED),60,17.3396,10.9702,23.6835
ECORE (ED),90,40.4897,28.953,52.0263
ECORE (ED),120,124.7507,86.6618,162.8395
ECORE (OB),15,16.1374,9.2052,23.0696
ECORE (OB),30,14.4491,8.182,20.7418
ECORE (OB),45,19.0024,11.1492,26.881
ECORE (OB),60,18.2861,10.9702,25.5765
ECORE (OB),90,47.4731,36.5248,58.4469
ECORE (OB),120,157.57,110.6048,204.5351
