policy,elapsed_min,cumulative_energy_mWh
Greedy (ECORE),0.004,-13.8284
Greedy (ECORE),1.1428,346.5897
Greedy (ECORE),2.7355,863.964
Greedy (ECORE),4.4159,1433.6571
Greedy (ECORE),5.698,1834.7676
Greedy (ECORE),8.8914,3067.1649
Greedy (ECORE),11.185,3828.6935
Greedy (ECORE),12.2203,4177.4852
Greedy (ECORE),15.0633,5159.9151
Greedy (ECORE),16.011,5491.2672
Greedy (ECORE),18.0496,6194.6638
Greedy (ECORE),19.9689,6863.1813
Greedy (ECORE),21.3785,7287.5445
Greedy (ECORE),22.6128,7706.0945
Greedy (ECORE),23.887,8147.8974
Greedy (ECORE),25.3603,8607.1398
Greedy (ECORE),26.7937,9107.0745
Greedy (ECORE),28.0998,9641.8885
Greedy (ECORE),29.8279,10333.6587
Greedy (ECORE),30.9747,10787.0879
Greedy (ECORE),33.6345,11879.9686
Greedy (ECORE),34.6141,12246.1998
Greedy (ECORE),35.4184,12519.42
Greedy (ECORE),36.6209,12943.7832
Greedy (ECORE),38.3649,13530.9159
Greedy (ECORE),41.2956,14524.9723
Greedy (ECORE),42.2432,14850.5112
Greedy (ECORE),43.5572,15333.0064
Greedy (ECORE),45.4207,15995.7106
Greedy (ECORE),46.464,16367.7551
Greedy (ECORE),47.6028,16809.5579
Greedy (ECORE),48.9486,17303.6795
Greedy (ECORE),50.2069,17751.2955
Greedy (ECORE),53.0897,18861.6158
Greedy (ECORE),56.7052,20274.2221
Greedy (ECORE),58.0113,20803.2229
Greedy (ECORE),59.4925,21396.1688
Greedy (ECORE),62.1285,22401.8515
Greedy (ECORE),64.0796,23145.9405
Greedy (ECORE),65.2104,23587.7433
Greedy (ECORE),66.1979,24006.2933
Greedy (ECORE),70.3629,25535.1636
Greedy (ECORE),71.3663,25872.3289
Greedy (ECORE),80.1264,28819.6188
Greedy (ECORE),83.2401,29877.6203
Greedy (ECORE),84.7692,30412.4342
Greedy (ECORE),86.1469,30877.4898
Greedy (ECORE),87.5405,31359.985
Greedy (ECORE),89.4996,32040.1288
Greedy (ECORE),91.2914,32760.965
Greedy (ECORE),92.5019,33185.3283
Greedy (ECORE),94.3096,33842.2193
Greedy (ECORE),96.5554,34632.8138
Greedy (ECORE),99.7488,35789.6396
Greedy (ECORE),100.6965,36138.4313
Greedy (ECORE),105.0128,37731.2468
Greedy (ECORE),106.0003,38097.478
Greedy (ECORE),107.1152,38516.0281
Greedy (ECORE),108.3575,38992.7101
Greedy (ECORE),110.7227,39893.7553
Greedy (ECORE),112.419,40550.6463
Greedy (ECORE),119.0925,43085.1994
Greedy (ECORE),119.9287,43404.9251
Greedy (ECORE),120.0084,43433.9911
Lyapunov controller,0.004,-13.8284
Lyapunov controller,0.3066,73.3695
Lyapunov controller,0.6809,178.007
Lyapunov controller,1.2304,340.7765
Lyapunov controller,1.6206,445.414
Lyapunov controller,1.8436,503.5459
Lyapunov controller,2.0427,550.0515
Lyapunov controller,2.3214,625.623
Lyapunov controller,2.5524,701.1946
Lyapunov controller,10.8983,3107.8573
Lyapunov controller,11.2328,3206.6816
Lyapunov controller,12.2123,3485.715
Lyapunov controller,12.5786,3596.1657
Lyapunov controller,12.8812,3683.3636
Lyapunov controller,17.5161,5020.3985
Lyapunov controller,17.7789,5090.1568
Lyapunov controller,18.0178,5154.1019
Lyapunov controller,18.3602,5252.9263
Lyapunov controller,18.6071,5328.4978
Lyapunov controller,26.0372,7392.182
Lyapunov controller,26.4274,7502.6327
Lyapunov controller,27.4229,7793.2925
Lyapunov controller,28.044,7973.5015
Lyapunov controller,28.2431,8031.6335
Lyapunov controller,28.482,8095.5786
Lyapunov controller,28.9041,8217.6557
Lyapunov controller,29.5173,8392.0516
Lyapunov controller,29.7323,8455.9967
Lyapunov controller,30.0509,8549.0078
Lyapunov controller,30.3296,8618.7662
Lyapunov controller,30.6243,8700.1509
Lyapunov controller,31.1021,8822.228
Lyapunov controller,31.4684,8932.6787
Lyapunov controller,31.986,9078.0086
Lyapunov controller,53.695,15327.1932
Lyapunov controller,53.8702,15379.512
Lyapunov controller,56.9203,16263.1176
Lyapunov controller,57.4857,16437.5134
Lyapunov controller,57.7007,16501.4586
Lyapunov controller,59.0545,16896.7558
Lyapunov controller,59.3014,16966.5142
Lyapunov controller,68.2605,19559.1992
Lyapunov controller,68.5711,19640.5839
Lyapunov controller,68.9454,19751.0346
Lyapunov controller,69.256,19832.4193
Lyapunov controller,69.6462,19948.6832
Lyapunov controller,69.9807,20041.6943
Lyapunov controller,70.2036,20099.8263
Lyapunov controller,70.4027,20163.7714
Lyapunov controller,70.7531,20268.409
Lyapunov controller,70.9363,20326.5409
Lyapunov controller,71.6769,20541.6291
Lyapunov controller,71.9795,20623.0138
Lyapunov controller,72.3379,20721.8382
Lyapunov controller,72.8316,20861.3548
Lyapunov controller,73.182,20960.1792
Lyapunov controller,83.8135,24023.7329
Lyapunov controller,84.1719,24128.3704
Lyapunov controller,84.7294,24285.3267
Lyapunov controller,116.6716,33539.9332
Lyapunov controller,117.0061,33632.9443
Lyapunov controller,118.0971,33946.8568
Lyapunov controller,118.3041,34004.9888
Lyapunov controller,118.5351,34074.7471
Lyapunov controller,118.9731,34196.8242
Lyapunov controller,119.5066,34353.7805
Lyapunov controller,120.0084,34499.1103
Budget envelope,0.004,-13.8284
Budget envelope,0.7048,195.4466
Budget envelope,0.9995,276.8313
Budget envelope,8.2862,2392.8343
Budget envelope,8.6446,2503.285
Budget envelope,9.2817,2689.3073
Budget envelope,10.086,2927.6482
Budget envelope,10.747,3125.2969
Budget envelope,11.4239,3328.7587
Budget envelope,11.9415,3479.9018
Budget envelope,12.4432,3631.0448
Budget envelope,13.5502,3956.5838
Budget envelope,14.4341,4206.5511
Budget envelope,15.8915,4648.354
Budget envelope,16.433,4805.3102
Budget envelope,17.0064,4979.7061
Budget envelope,17.54,5125.036
Budget envelope,49.307,14315.6973
Budget envelope,53.918,15675.9849
Budget envelope,54.7303,15914.3259
Budget envelope,55.6859,16193.3593
Budget envelope,56.9919,16571.2169
Budget envelope,57.3662,16687.4808
Budget envelope,57.7963,16821.1843
Budget envelope,58.3856,16995.5802
Budget envelope,59.1819,17222.2948
Budget envelope,60.3287,17559.4601
Budget envelope,62.24,18111.7136
Budget envelope,67.6553,19687.0895
Budget envelope,68.4437,19919.6173
Budget envelope,68.8339,20030.068
Budget envelope,69.5665,20233.5298
Budget envelope,70.2275,20419.552
Budget envelope,71.6132,20838.1021
Budget envelope,72.2105,21000.8715
Budget envelope,72.7839,21163.641
Budget envelope,86.6247,25186.3719
Budget envelope,87.3972,25407.2733
Budget envelope,87.8352,25540.9768
Budget envelope,88.751,25802.5706
Budget envelope,89.3005,25965.3401
Budget envelope,90.2004,26232.747
Budget envelope,93.5451,27226.8034
Budget envelope,94.0707,27383.7596
Budget envelope,94.5167,27511.6499
Budget envelope,96.2368,27999.9583
Budget envelope,96.7863,28156.9146
Budget envelope,97.4632,28360.3764
Budget envelope,98.9604,28796.366
Budget envelope,99.6612,28999.8279
Budget envelope,100.0912,29127.7181
Budget envelope,101.2699,29464.8835
Budget envelope,102.1618,29709.0376
Budget envelope,110.7307,32185.4587
Budget envelope,111.7819,32499.3712
Budget envelope,112.5384,32708.6463
Budget envelope,113.2552,32906.2949
Budget envelope,113.6534,33016.7456
Budget envelope,114.0993,33150.4491
Budget envelope,114.8479,33371.3505
Budget envelope,116.0504,33720.1422
Budget envelope,116.9981,33981.736
Budget envelope,117.8502,34220.077
Budget envelope,118.9492,34539.8027
Budget envelope,120.0084,34847.902
