# SYNTHETIC example table. Not measured data. See README.md.
model,node,group,energy_mWh,mAP,latency_ms
nanodet,orin_nano,0,0.00988,21.6,0.8
nanodet,orin_nano,1,0.01205,20.843,0.975
nanodet,orin_nano,2,0.01503,20.086,1.216
nanodet,orin_nano,3,0.01913,19.33,1.548
nanodet,pi5_aihat_a,0,0.01207,21.276,0.589
nanodet,pi5_aihat_a,1,0.01439,20.531,0.703
nanodet,pi5_aihat_a,2,0.01846,19.785,0.901
nanodet,pi5_aihat_a,3,0.02271,19.04,1.109
nanodet,pi5_aihat_b,0,0.01192,21.276,0.582
nanodet,pi5_aihat_b,1,0.01494,20.531,0.73
nanodet,pi5_aihat_b,2,0.01829,19.785,0.893
nanodet,pi5_aihat_b,3,0.02338,19.04,1.142
nanodet,pi5_coral_a,0,0.0168,21.276,0.965
nanodet,pi5_coral_a,1,0.02056,20.531,1.182
nanodet,pi5_coral_a,2,0.02658,19.785,1.528
nanodet,pi5_coral_a,3,0.03264,19.04,1.876
nanodet,pi5_coral_b,0,0.01656,21.276,0.954
nanodet,pi5_coral_b,1,0.02074,20.531,1.195
nanodet,pi5_coral_b,2,0.02555,19.785,1.472
nanodet,pi5_coral_b,3,0.03197,19.04,1.842
nanodet,pi4_coral,0,0.01977,21.276,1.563
nanodet,pi4_coral,1,0.02399,20.531,1.896
nanodet,pi4_coral,2,0.02996,19.785,2.368
nanodet,pi4_coral,3,0.03749,19.04,2.962
yolox_tiny,orin_nano,0,0.01533,24.9,1.24
yolox_tiny,orin_nano,1,0.01902,24.069,1.54
yolox_tiny,orin_nano,2,0.0231,23.239,1.869
yolox_tiny,orin_nano,3,0.02907,22.408,2.353
yolox_tiny,pi5_aihat_a,0,0.01838,24.526,0.897
yolox_tiny,pi5_aihat_a,1,0.02288,23.708,1.117
yolox_tiny,pi5_aihat_a,2,0.02827,22.89,1.38
yolox_tiny,pi5_aihat_a,3,0.03577,22.072,1.746
yolox_tiny,pi5_aihat_b,0,0.01894,24.526,0.925
yolox_tiny,pi5_aihat_b,1,0.02276,23.708,1.112
yolox_tiny,pi5_aihat_b,2,0.02893,22.89,1.413
yolox_tiny,pi5_aihat_b,3,0.03667,22.072,1.792
yolox_tiny,pi5_coral_a,0,0.02644,24.526,1.519
yolox_tiny,pi5_coral_a,1,0.03207,23.708,1.843
yolox_tiny,pi5_coral_a,2,0.04127,22.89,2.372
yolox_tiny,pi5_coral_a,3,0.05171,22.072,2.972
yolox_tiny,pi5_coral_b,0,0.02662,24.526,1.534
yolox_tiny,pi5_coral_b,1,0.03167,23.708,1.824
yolox_tiny,pi5_coral_b,2,0.03973,22.89,2.288
yolox_tiny,pi5_coral_b,3,0.0501,22.072,2.886
yolox_tiny,pi4_coral,0,0.03092,24.526,2.444
yolox_tiny,pi4_coral,1,0.03703,23.708,2.927
yolox_tiny,pi4_coral,2,0.04734,22.89,3.741
yolox_tiny,pi4_coral,3,0.05985,22.072,4.73
yolov8n,orin_nano,0,0.01971,27.1,1.595
yolov8n,orin_nano,1,0.02357,26.223,1.908
yolov8n,orin_nano,2,0.02968,25.346,2.402
yolov8n,orin_nano,3,0.03744,24.47,3.03
yolov8n,pi5_aihat_a,0,0.02338,26.694,1.141
yolov8n,pi5_aihat_a,1,0.02888,25.83,1.41
yolov8n,pi5_aihat_a,2,0.03621,24.966,1.768
yolov8n,pi5_aihat_a,3,0.04566,24.103,2.229
yolov8n,pi5_aihat_b,0,0.02393,26.694,1.169
yolov8n,pi5_aihat_b,1,0.03007,25.83,1.469
yolov8n,pi5_aihat_b,2,0.03708,24.966,1.812
yolov8n,pi5_aihat_b,3,0.04706,24.103,2.299
yolov8n,pi5_coral_a,0,0.03449,26.694,1.982
yolov8n,pi5_coral_a,1,0.04082,25.83,2.346
yolov8n,pi5_coral_a,2,0.05212,24.966,2.995
yolov8n,pi5_coral_a,3,0.06678,24.103,3.838
yolov8n,pi5_coral_b,0,0.03343,26.694,1.926
yolov8n,pi5_coral_b,1,0.04127,25.83,2.377
yolov8n,pi5_coral_b,2,0.05194,24.966,2.992
yolov8n,pi5_coral_b,3,0.06428,24.103,3.703
yolov8n,pi4_coral,0,0.03935,26.694,3.109
yolov8n,pi4_coral,1,0.04828,25.83,3.815
yolov8n,pi4_coral,2,0.05948,24.966,4.701
yolov8n,pi4_coral,3,0.07432,24.103,5.873
ssd_mobilenet,orin_nano,0,0.02083,22.4,1.686
ssd_mobilenet,orin_nano,1,0.02539,21.682,2.055
ssd_mobilenet,orin_nano,2,0.03183,20.964,2.576
ssd_mobilenet,orin_nano,3,0.04013,20.246,3.247
ssd_mobilenet,pi5_aihat_a,0,0.02512,22.064,1.226
ssd_mobilenet,pi5_aihat_a,1,0.03134,21.357,1.53
ssd_mobilenet,pi5_aihat_a,2,0.03889,20.649,1.899
ssd_mobilenet,pi5_aihat_a,3,0.04997,19.942,2.439
ssd_mobilenet,pi5_aihat_b,0,0.02601,22.064,1.271
ssd_mobilenet,pi5_aihat_b,1,0.03135,21.357,1.531
ssd_mobilenet,pi5_aihat_b,2,0.04029,20.649,1.968
ssd_mobilenet,pi5_aihat_b,3,0.04918,19.942,2.402
ssd_mobilenet,pi5_coral_a,0,0.03647,22.064,2.096
ssd_mobilenet,pi5_coral_a,1,0.04506,21.357,2.59
ssd_mobilenet,pi5_coral_a,2,0.05629,20.649,3.235
ssd_mobilenet,pi5_coral_a,3,0.07094,19.942,4.077
ssd_mobilenet,pi5_coral_b,0,0.03616,22.064,2.083
ssd_mobilenet,pi5_coral_b,1,0.04434,21.357,2.554
ssd_mobilenet,pi5_coral_b,2,0.05481,20.649,3.157
ssd_mobilenet,pi5_coral_b,3,0.06884,19.942,3.966
ssd_mobilenet,pi4_coral,0,0.04274,22.064,3.378
ssd_mobilenet,pi4_coral,1,0.05072,21.357,4.008
ssd_mobilenet,pi4_coral,2,0.06589,20.649,5.207
ssd_mobilenet,pi4_coral,3,0.08276,19.942,6.54
efficientdet_d0,orin_nano,0,0.03086,30.2,2.497
efficientdet_d0,orin_nano,1,0.03698,29.282,2.993
efficientdet_d0,orin_nano,2,0.0465,28.365,3.763
efficientdet_d0,orin_nano,3,0.05796,27.447,4.69
efficientdet_d0,pi5_aihat_a,0,0.0378,29.747,1.845
efficientdet_d0,pi5_aihat_a,1,0.0454,28.843,2.216
efficientdet_d0,pi5_aihat_a,2,0.05833,27.94,2.847
efficientdet_d0,pi5_aihat_a,3,0.07162,27.036,3.496
efficientdet_d0,pi5_aihat_b,0,0.03733,29.747,1.824
efficientdet_d0,pi5_aihat_b,1,0.04698,28.843,2.295
efficientdet_d0,pi5_aihat_b,2,0.0591,27.94,2.887
efficientdet_d0,pi5_aihat_b,3,0.07413,27.036,3.621
efficientdet_d0,pi5_coral_a,0,0.05261,29.747,3.024
efficientdet_d0,pi5_coral_a,1,0.06535,28.843,3.756
efficientdet_d0,pi5_coral_a,2,0.08143,27.94,4.68
efficientdet_d0,pi5_coral_a,3,0.1021,27.036,5.868
efficientdet_d0,pi5_coral_b,0,0.05172,29.747,2.979
efficientdet_d0,pi5_coral_b,1,0.06388,28.843,3.68
efficientdet_d0,pi5_coral_b,2,0.08003,27.94,4.61
efficientdet_d0,pi5_coral_b,3,0.10185,27.036,5.867
efficientdet_d0,pi4_coral,0,0.06194,29.747,4.895
efficientdet_d0,pi4_coral,1,0.07627,28.843,6.027
efficientdet_d0,pi4_coral,2,0.09521,27.94,7.524
efficientdet_d0,pi4_coral,3,0.11793,27.036,9.319
yolov8s,orin_nano,0,0.04529,32.4,3.665
yolov8s,orin_nano,1,0.05417,31.468,4.384
yolov8s,orin_nano,2,0.06789,30.536,5.494
yolov8s,orin_nano,3,0.08504,29.604,6.882
yolov8s,pi5_aihat_a,0,0.05374,31.914,2.623
yolov8s,pi5_aihat_a,1,0.06626,30.996,3.234
yolov8s,pi5_aihat_a,2,0.0827,30.078,4.037
yolov8s,pi5_aihat_a,3,0.10502,29.16,5.127
yolov8s,pi5_aihat_b,0,0.0544,31.914,2.657
yolov8s,pi5_aihat_b,1,0.06721,30.996,3.283
yolov8s,pi5_aihat_b,2,0.08498,30.078,4.151
yolov8s,pi5_aihat_b,3,0.10481,29.16,5.12
yolov8s,pi5_coral_a,0,0.07712,31.914,4.432
yolov8s,pi5_coral_a,1,0.09356,30.996,5.378
yolov8s,pi5_coral_a,2,0.11861,30.078,6.817
yolov8s,pi5_coral_a,3,0.15092,29.16,8.674
yolov8s,pi5_coral_b,0,0.07598,31.914,4.377
yolov8s,pi5_coral_b,1,0.09495,30.996,5.469
yolov8s,pi5_coral_b,2,0.11659,30.078,6.716
yolov8s,pi5_coral_b,3,0.14855,29.16,8.557
yolov8s,pi4_coral,0,0.08871,31.914,7.011
yolov8s,pi4_coral,1,0.10853,30.996,8.577
yolov8s,pi4_coral,2,0.13971,30.078,11.041
yolov8s,pi4_coral,3,0.17133,29.16,13.539
efficientdet_d2,orin_nano,0,0.06765,34.0,5.474
efficientdet_d2,orin_nano,1,0.08149,33.076,6.594
efficientdet_d2,orin_nano,2,0.10077,32.152,8.155
efficientdet_d2,orin_nano,3,0.12731,31.228,10.302
efficientdet_d2,pi5_aihat_a,0,0.0806,33.49,3.935
efficientdet_d2,pi5_aihat_a,1,0.09838,32.58,4.803
efficientdet_d2,pi5_aihat_a,2,0.1258,31.67,6.141
efficientdet_d2,pi5_aihat_a,3,0.15826,30.76,7.725
efficientdet_d2,pi5_aihat_b,0,0.08346,33.49,4.077
efficientdet_d2,pi5_aihat_b,1,0.10127,32.58,4.947
efficientdet_d2,pi5_aihat_b,2,0.12606,31.67,6.158
efficientdet_d2,pi5_aihat_b,3,0.16203,30.76,7.916
efficientdet_d2,pi5_coral_a,0,0.11474,33.49,6.595
efficientdet_d2,pi5_coral_a,1,0.13982,32.58,8.036
efficientdet_d2,pi5_coral_a,2,0.1802,31.67,10.357
efficientdet_d2,pi5_coral_a,3,0.22678,30.76,13.034
efficientdet_d2,pi5_coral_b,0,0.11676,33.49,6.726
efficientdet_d2,pi5_coral_b,1,0.13872,32.58,7.991
efficientdet_d2,pi5_coral_b,2,0.17648,31.67,10.166
efficientdet_d2,pi5_coral_b,3,0.22181,30.76,12.777
efficientdet_d2,pi4_coral,0,0.13655,33.49,10.791
